T,X,V
10.76,-0.162545,-0.339971
10.7733,-0.166923,-0.316689
10.7867,-0.170988,-0.292939
10.8,-0.174733,-0.268764
10.8133,-0.178153,-0.244208
10.8267,-0.181244,-0.219317
10.84,-0.184001,-0.194137
10.8533,-0.18642,-0.168713
10.8667,-0.188499,-0.143091
10.88,-0.190235,-0.117317
10.8933,-0.191627,-0.0914385
10.9067,-0.192673,-0.0655008
10.92,-0.193373,-0.0395504
10.9333,-0.193728,-0.0136335
10.9467,-0.193737,0.0122041
10.96,-0.193403,0.037917
10.9733,-0.192727,0.0634599
10.9867,-0.191712,0.0887883
11,-0.19036,0.113858
11.0133,-0.188677,0.138626
11.0267,-0.186665,0.163049
11.04,-0.18433,0.187085
11.0533,-0.181678,0.210693
11.0667,-0.178714,0.233834
11.08,-0.175445,0.256467
11.0933,-0.171877,0.278555
11.1067,-0.168019,0.30006
11.12,-0.163878,0.320948
11.1333,-0.159464,0.341182
11.1467,-0.154783,0.360731
11.16,-0.149847,0.379562
11.1733,-0.144665,0.397644
11.1867,-0.139247,0.414948
11.2,-0.133603,0.431448
11.2133,-0.127745,0.447116
11.2267,-0.121684,0.461928
11.24,-0.115431,0.475862
11.2533,-0.108998,0.488896
11.2667,-0.102398,0.501011
11.28,-0.0956422,0.512189
11.2933,-0.0887438,0.522413
11.3067,-0.0817155,0.53167
11.32,-0.0745703,0.539947
11.3333,-0.0673214,0.547232
11.3467,-0.0599819,0.553518
11.36,-0.0525654,0.558797
11.3733,-0.0450851,0.563064
11.3867,-0.0375548,0.566315
11.4,-0.0299879,0.568548
11.4133,-0.0223981,0.569763
11.4267,-0.0147988,0.569963
11.44,-0.00720355,0.569152
11.4533,0.00037413,0.567333
11.4667,0.0079209,0.564516
11.48,0.0154235,0.560708
11.4933,0.0228688,0.555921
11.5067,0.0302437,0.550167
11.52,0.0375356,0.54346
11.5333,0.0447318,0.535815
11.5467,0.05182,0.527251
11.56,0.0587879,0.517785
11.5733,0.0656236,0.507439
11.5867,0.0723157,0.496234
11.6,0.0788528,0.484193
11.6133,0.0852239,0.471341
11.6267,0.0914184,0.457704
11.64,0.097426,0.44331
11.6533,0.103237,0.428187
11.6667,0.108841,0.412365
11.68,0.11423,0.395875
11.6933,0.119395,0.378748
11.7067,0.124327,0.361017
11.72,0.12902,0.342717
