T,X,V
10.9067,0.195958,-0.387248
10.92,0.190709,-0.400009
10.9333,0.185293,-0.412248
10.9467,0.179718,-0.42396
10.96,0.17399,-0.43514
10.9733,0.168117,-0.445783
10.9867,0.162105,-0.455889
11,0.155962,-0.465454
11.0133,0.149695,-0.474477
11.0267,0.143312,-0.482959
11.04,0.136819,-0.490899
11.0533,0.130224,-0.498299
11.0667,0.123533,-0.50516
11.08,0.116755,-0.511484
11.0933,0.109896,-0.517273
11.1067,0.102964,-0.52253
11.12,0.0959643,-0.527259
11.1333,0.0889056,-0.531462
11.1467,0.0817943,-0.535144
11.16,0.0746374,-0.538307
11.1733,0.0674417,-0.540957
11.1867,0.0602142,-0.543096
11.2,0.0529614,-0.544729
11.2133,0.0456903,-0.54586
11.2267,0.0384074,-0.546494
11.24,0.0311193,-0.546633
11.2533,0.0238327,-0.546283
11.2667,0.0165539,-0.545448
11.28,0.00928953,-0.54413
11.2933,0.0020459,-0.542335
11.3067,-0.00517062,-0.540065
11.32,-0.0123538,-0.537326
11.3333,-0.0194972,-0.53412
11.3467,-0.0265949,-0.530452
11.36,-0.0336406,-0.526324
11.3733,-0.0406282,-0.521742
11.3867,-0.0475517,-0.516708
11.4,-0.0544051,-0.511226
11.4133,-0.0611824,-0.505301
11.4267,-0.0678778,-0.498936
11.44,-0.0744854,-0.492135
11.4533,-0.0809995,-0.484903
11.4667,-0.0874143,-0.477245
11.48,-0.0937242,-0.469165
11.4933,-0.0999235,-0.460668
11.5067,-0.106007,-0.451759
11.52,-0.111969,-0.442445
11.5333,-0.117804,-0.432731
11.5467,-0.123506,-0.422624
11.56,-0.129072,-0.412131
11.5733,-0.134495,-0.40126
11.5867,-0.13977,-0.390018
11.6,-0.144894,-0.378414
11.6133,-0.14986,-0.366458
11.6267,-0.154664,-0.354159
11.64,-0.159303,-0.341527
11.6533,-0.16377,-0.328573
11.6667,-0.168063,-0.315309
11.68,-0.172177,-0.301747
11.6933,-0.176109,-0.287901
11.7067,-0.179853,-0.273783
11.72,-0.183408,-0.259408
11.7333,-0.18677,-0.24479
